trading_day,very_deep_otm_call_iv,deep_otm_call_iv,otm_call_iv,around_atm_call_iv,itm_call_iv,deep_itm_call_iv,very_deep_itm_call_iv,very_deep_otm_put_iv,deep_otm_put_iv,otm_put_iv,around_atm_put_iv,itm_put_iv,deep_itm_put_iv,very_deep_itm_put_iv
2019-11-19,0.22816073170731524,0.11447456896551719,0.10702444444444444,0.10544295774647885,0.10347261904761902,0.10442378048780489,0.037652854511970556,0.28063034623217925,0.13006255506607928,0.1267967032967033,0.128548051948052,0.1411493421052632,0.2028923580786027,0.4078330618892517
2019-11-20,0.23449531662269116,0.12152991452991453,0.1120010989010989,0.11038875000000001,0.10811616161616164,0.11475033557046978,0.051963,0.28673527724665304,0.1376728744939271,0.1326274509803921,0.13528351648351644,0.151565,0.25232591836734714,0.45832380056444033
2020-01-21,0.24427182017543908,0.11323454545454545,0.10043846153846155,0.09846224489795918,0.09686299999999999,0.09347857142857142,0.01685689393939394,0.2427820580474938,0.10953091787439607,0.10926826923076924,0.11008611111111107,0.12018313953488377,0.1640229032258065,0.4359710638297879
2020-01-22,0.2528705128205123,0.11498782051282046,0.10263908045977016,0.10048987341772155,0.0964076923076923,0.09388079470198676,0.01606730205278592,0.23851706539074885,0.10850536912751678,0.10955661764705878,0.11177446808510641,0.12152773109243702,0.1673723032069971,0.45475933734939755
2020-05-19,0.4092062271062276,0.18905309446254068,0.16820503144654075,0.16602171052631584,0.16870641025641023,0.18265544554455443,0.15612925495557087,0.34496236989591733,0.19718397435897445,0.17490384615384608,0.17439612903225812,0.18457339901477837,0.20787370689655188,0.5416360805860804
2020-05-20,0.4192080586080585,0.18487195571955728,0.16310970149253734,0.16142272727272727,0.1629464285714286,0.1725224137931035,0.16660960000000005,0.3533439266615743,0.18933692307692307,0.17068101265822785,0.17055605095541398,0.18017010869565214,0.20504097560975607,0.4969985321100916
2020-07-21,0.4274753205128194,0.15085333333333334,0.14020375000000002,0.13802558139534885,0.1383066037735849,0.14915337078651686,0.17742137203166228,0.41310242165242056,0.15856623376623377,0.1440846715328466,0.1449404494382023,0.15261736111111104,0.158,0.5161358974358974
2020-07-22,0.43252564102564106,0.1435833333333333,0.13724130434782617,0.13384743589743583,0.1333064102564103,0.1396912568306011,0.17298581818181838,0.3903181701030926,0.15379555555555552,0.14073333333333335,0.14114871794871797,0.15014050632911394,,0.518969230769231
2020-10-20,0.2998210059171591,0.14530212765957437,0.14948344827586213,0.15441678321678323,0.16429489795918367,0.17168008849557506,0.26104838337182446,0.36511235431235495,0.18317772727272724,0.16691481481481482,0.16102653061224487,0.15433584905660372,0.15899764150943405,0.3952710059171607
2020-10-21,0.30198673765730843,0.14977627737226273,0.15364471544715436,0.1569428571428571,0.1638154761904762,0.16640961538461535,0.24985646651270244,0.39982249417249394,0.17767826086956523,0.16866962025316456,0.1644187919463087,0.15871379310344835,0.16337355371900833,0.404592702169625
2021-01-19,0.30973672431332727,0.1296222222222223,0.1202126582278481,0.12125512820512821,0.12521212121212114,0.13775681818181817,0.24288936567164177,0.48476636029411907,0.14269512195121953,0.13112812500000004,0.12655256410256416,0.12856335877862599,0.14339747292418778,0.3846023489932885
2021-01-20,0.30788984220907356,0.1220715083798882,0.1153230769230769,0.11539102564102563,0.11833676470588236,0.12531176470588232,0.22828171846435116,0.4738760073260081,0.13562820512820506,0.12574999999999997,0.12167307692307694,0.1228516339869281,0.13787032520325193,0.38727766990291296
2021-04-20,0.3597838731444004,0.15640725806451608,0.14336170212765958,0.14239344262295076,0.14406142857142853,0.14613402061855665,0.01353131407269338,0.4558431274900396,0.16571089743589743,0.15482,0.1541308823529411,0.16070506329113923,0.22020248226950384,0.4247838509316776
2021-04-21,0.37818917378917377,0.22109388646288222,0.14173636363636363,0.14085407407407408,0.1413641025641026,0.14566388888888884,0.21625516605166056,0.409647711088504,0.16323333333333337,0.15331111111111112,0.15298661971830982,0.1600127906976744,0.19277118644067784,0.36598231046931484
2021-07-20,0.3861954495005548,0.1995198412698413,0.1682471264367816,0.1623044117647059,0.15404160583941606,0.28353256880733957,0.310809222948439,0.4240955892487946,0.17440468749999996,0.17269130434782606,0.1789848101265823,0.19651013513513516,0.26570054945054944,0.44085063829787263
